"COUNTRY","Country","SECTOR","Sector","PRICE","Price","BIOEMS","Coverage","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","RESCOM","Residential & commercial","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0.0274658203125,,
"AUS","Australia","ELEC","Electricity","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",0,,
"AUS","Australia","ELEC","Electricity","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",0,,
"AUS","Australia","ELEC","Electricity","30B","EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0,,
"AUS","Australia","ALL","All sectors","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",20.2698707580566,,
"AUS","Australia","ALL","All sectors","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",20.3441734313965,,
"AUS","Australia","ALL","All sectors","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",20.3556594848633,,
"AUS","Australia","ROAD","Road","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",97.2432098388672,,
"AUS","Australia","ROAD","Road","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",98.5579299926758,,
"AUS","Australia","ROAD","Road","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",99.5382461547852,,
"AUS","Australia","OFFROAD","Off-road","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",33.9031562805176,,
"AUS","Australia","OFFROAD","Off-road","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",13.317852973938,,
"AUS","Australia","OFFROAD","Off-road","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",8.7796573638916,,
"AUS","Australia","INDUSTRY","Industry","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",2.99918055534363,,
"AUS","Australia","INDUSTRY","Industry","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",1.25494599342346,,
"AUS","Australia","INDUSTRY","Industry","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",0.628429651260376,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",0.0239133834838867,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0,,
"AUS","Australia","RESCOM","Residential & commercial","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",5.36099052429199,,
"AUS","Australia","RESCOM","Residential & commercial","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",0.404465198516846,,
"AUS","Australia","RESCOM","Residential & commercial","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0.0274658203125,,
"AUS","Australia","ELEC","Electricity","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",0,,
"AUS","Australia","ELEC","Electricity","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",0,,
"AUS","Australia","ELEC","Electricity","60B","EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0,,
"AUS","Australia","ALL","All sectors","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",17.2214450836182,,
"AUS","Australia","ALL","All sectors","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",17.2757377624512,,
"AUS","Australia","ALL","All sectors","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",16.2459487915039,,
"AUS","Australia","ROAD","Road","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",86.6704177856445,,
"AUS","Australia","ROAD","Road","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",84.102165222168,,
"AUS","Australia","ROAD","Road","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",79.9466781616211,,
"AUS","Australia","OFFROAD","Off-road","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",16.9515781402588,,
"AUS","Australia","OFFROAD","Off-road","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",7.87414312362671,,
"AUS","Australia","OFFROAD","Off-road","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",4.3898286819458,,
"AUS","Australia","INDUSTRY","Industry","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",1.49958729743958,,
"AUS","Australia","INDUSTRY","Industry","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",1.25494599342346,,
"AUS","Australia","INDUSTRY","Industry","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",0.314217805862427,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",0.0221192836761475,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0,,
"AUS","Australia","RESCOM","Residential & commercial","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",2.68049240112305,,
"AUS","Australia","RESCOM","Residential & commercial","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",0.351119041442871,,
"AUS","Australia","RESCOM","Residential & commercial","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0.0258803367614746,,
"AUS","Australia","ELEC","Electricity","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2012","2012",0,,
"AUS","Australia","ELEC","Electricity","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2015","2015",0,,
"AUS","Australia","ELEC","Electricity","120B","EUR 120 per tonne of CO2","IN","Including emissions from the combustion of biomass","CPS","Carbon Pricing Score, in percent","2018","2018",0,,
"AUS","Australia","ALL","All sectors","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",23.5235214233398,,
"AUS","Australia","ALL","All sectors","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",22.272705078125,,
"AUS","Australia","ALL","All sectors","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",22.3952102661133,,
"AUS","Australia","ROAD","Road","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",99.8046968877316,,
"AUS","Australia","ROAD","Road","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",98.8288269042969,,
"AUS","Australia","ROAD","Road","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",100,,
"AUS","Australia","OFFROAD","Off-road","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",60.238899230957,,
"AUS","Australia","OFFROAD","Off-road","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",63.4995307922363,,
"AUS","Australia","OFFROAD","Off-road","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",58.8904151916504,,
"AUS","Australia","INDUSTRY","Industry","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",8.54959106445312,,
"AUS","Australia","INDUSTRY","Industry","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",1.25494384765625,,
"AUS","Australia","INDUSTRY","Industry","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",1.83811187744141,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0.0239105224609375,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","RESCOM","Residential & commercial","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",15.4100952148438,,
"AUS","Australia","RESCOM","Residential & commercial","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0.404464721679688,,
"AUS","Australia","RESCOM","Residential & commercial","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0.0274658203125,,
"AUS","Australia","ELEC","Electricity","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
"AUS","Australia","ELEC","Electricity","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0,,
"AUS","Australia","ELEC","Electricity","0","Above EUR 0 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","ALL","All sectors","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",23.5235214233398,,
"AUS","Australia","ALL","All sectors","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",22.272705078125,,
"AUS","Australia","ALL","All sectors","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",22.3952102661133,,
"AUS","Australia","ROAD","Road","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",99.8046968877316,,
"AUS","Australia","ROAD","Road","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",98.8288269042969,,
"AUS","Australia","ROAD","Road","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",100,,
"AUS","Australia","OFFROAD","Off-road","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",60.238899230957,,
"AUS","Australia","OFFROAD","Off-road","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",63.4995307922363,,
"AUS","Australia","OFFROAD","Off-road","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",58.8904151916504,,
"AUS","Australia","INDUSTRY","Industry","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",8.54959106445312,,
"AUS","Australia","INDUSTRY","Industry","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",1.25494384765625,,
"AUS","Australia","INDUSTRY","Industry","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",1.83811187744141,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0.0239105224609375,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","RESCOM","Residential & commercial","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",15.4100952148438,,
"AUS","Australia","RESCOM","Residential & commercial","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0.404464721679688,,
"AUS","Australia","RESCOM","Residential & commercial","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0.0274658203125,,
"AUS","Australia","ELEC","Electricity","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
"AUS","Australia","ELEC","Electricity","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0,,
"AUS","Australia","ELEC","Electricity","5","Above EUR 5 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","ALL","All sectors","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",19.7917175292969,,
"AUS","Australia","ALL","All sectors","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",20.0252456665039,,
"AUS","Australia","ALL","All sectors","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",20.106803894043,,
"AUS","Australia","ROAD","Road","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",95.4049525260925,,
"AUS","Australia","ROAD","Road","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",98.8288269042969,,
"AUS","Australia","ROAD","Road","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",99.9968910666648,,
"AUS","Australia","OFFROAD","Off-road","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",60.1266059875488,,
"AUS","Australia","OFFROAD","Off-road","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",3.34599304199219,,
"AUS","Australia","OFFROAD","Off-road","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","INDUSTRY","Industry","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
"AUS","Australia","INDUSTRY","Industry","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",1.25494384765625,,
"AUS","Australia","INDUSTRY","Industry","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0.0239105224609375,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","RESCOM","Residential & commercial","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
"AUS","Australia","RESCOM","Residential & commercial","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0.404464721679688,,
"AUS","Australia","RESCOM","Residential & commercial","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0.0274658203125,,
"AUS","Australia","ELEC","Electricity","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
"AUS","Australia","ELEC","Electricity","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0,,
"AUS","Australia","ELEC","Electricity","30","Above EUR 30 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","ALL","All sectors","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",17.6673965454102,,
"AUS","Australia","ALL","All sectors","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",19.2526550292969,,
"AUS","Australia","ALL","All sectors","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",19.6076507568359,,
"AUS","Australia","ROAD","Road","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",94.8596363067627,,
"AUS","Australia","ROAD","Road","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",94.941089630127,,
"AUS","Australia","ROAD","Road","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",97.514306306839,,
"AUS","Australia","OFFROAD","Off-road","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
"AUS","Australia","OFFROAD","Off-road","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",3.27141571044922,,
"AUS","Australia","OFFROAD","Off-road","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","INDUSTRY","Industry","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
"AUS","Australia","INDUSTRY","Industry","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",1.25494384765625,,
"AUS","Australia","INDUSTRY","Industry","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0.0239105224609375,,
"AUS","Australia","AGRIFISH","Agriculture & fisheries","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","RESCOM","Residential & commercial","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
"AUS","Australia","RESCOM","Residential & commercial","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0.404464721679688,,
"AUS","Australia","RESCOM","Residential & commercial","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0.0274658203125,,
"AUS","Australia","ELEC","Electricity","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
"AUS","Australia","ELEC","Electricity","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",0,,
"AUS","Australia","ELEC","Electricity","60","Above EUR 60 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",0,,
"AUS","Australia","ALL","All sectors","90","Above EUR 90 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",13.1125411987305,,
"AUS","Australia","ALL","All sectors","90","Above EUR 90 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",14.5024108886719,,
"AUS","Australia","ALL","All sectors","90","Above EUR 90 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",15.1873245239258,,
"AUS","Australia","ROAD","Road","90","Above EUR 90 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",70.4037570953369,,
"AUS","Australia","ROAD","Road","90","Above EUR 90 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2015","2015",70.9508476257324,,
"AUS","Australia","ROAD","Road","90","Above EUR 90 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2018","2018",75.5293045043945,,
"AUS","Australia","OFFROAD","Off-road","90","Above EUR 90 per tonne of CO2","IN","Including emissions from the combustion of biomass","SEP","Share of emissions priced, in percent","2012","2012",0,,
